Datalog report
05/08/2018 11:05:36
      Prog Name:    Main.xlsm
       Job Name:    Main.xlsm
            Lot:
       Operator:    Administrator
      Test Mode:
      Node Name:    IP750_CB7E
      Part Type:
    Channel map:    Channel Map
    Environment:

    Site Number:
         0

    Device#: 1

    5/8/2018 11:05:36 AM

    Wf :
    Coord : X:00 Y:00

 Number     Site  Result   Test Name                 Pin            Channel   Low            Measured       High           Force          Loc
 136         0    FAIL     debug_Logic_Timing_Typ    Mst_TGBLK_TDO0_TSet255        0.0000         -28.6700 K     0.0000         0.0000         0
 137         0    FAIL     debug_Logic_Timing_Typ    Mst_TGBLK_TDO1_TSet238        0.0000         -29.5320 K     0.0000         0.0000         0
 138         0    FAIL     debug_Logic_Timing_Typ    Mst_TGBLK_VSYC_TSet253        0.0000         32.5840 K      0.0000         0.0000         0
 139         0    FAIL     debug_Logic_Timing_Typ    Mst_TGBLK_HSYC_TSet236        0.0000         247.0000       0.0000         0.0000         0
 140         0    FAIL     debug_Logic_Timing_Typ    Mst_HOSBLK_TDO0_TSet155        0.0000         486.0000       0.0000         0.0000         0
 141         0    PASS     debug_Logic_Timing_Typ    Mst_HOSBLK_TDO1_TSet138        0.0000         0.0000         0.0000         0.0000         0
 142         0    FAIL     debug_Logic_Timing_Typ    Mst_VSBLK_TDO0_TSet155        0.0000         751.0000       0.0000         0.0000         0
 143         0    PASS     debug_Logic_Timing_Typ    Mst_VSBLK_TDO1_TSet138        0.0000         0.0000         0.0000         0.0000         0
 144         0    FAIL     debug_Logic_Timing_Typ    Mst_VSBLK_VSYC_TSet153        0.0000         2.0000         0.0000         0.0000         0
 145         0    PASS     debug_Logic_Timing_Typ    Mst_VSBLK_VSYC1_TSet135        0.0000         0.0000         0.0000         0.0000         0
 146         0    FAIL     debug_Logic_Timing_Typ    Mst_VSBLK_EVSYC_TSet152        0.0000         2.0000         0.0000         0.0000         0
 147         0    FAIL     debug_Logic_Timing_Typ    Slv_TDO0_TSet1 55        0.0000         2.0000         0.0000         0.0000         0
 148         0    FAIL     debug_Logic_Timing_Typ    Slv_TDO1_TSet1 38        0.0000         2.0000         0.0000         0.0000         0
 149         0    FAIL     debug_Logic_Timing_Typ    WBT_VSYC_TSet1 53        0.0000         1.5000 K       0.0000         0.0000         0
 150         0    FAIL     debug_Logic_Timing_Typ    WBT_EVSYC_TSet152        0.0000         3.0000 K       0.0000         0.0000         0
 151         0    FAIL     debug_Logic_Timing_Min    Mst_SPIBLK_SDO_TSet149        0.0000         506.0000       0.0000         0.0000         0
 152         0    FAIL     debug_Logic_Timing_Min    Mst_SPIBLK_SDO_TSet249        0.0000         760.0000       0.0000         0.0000         0
 153         0    FAIL     debug_Logic_Timing_Min    Mst_TGBLK_TDO0_TSet155        0.0000         -32.5390 K     0.0000         0.0000         0
 154         0    FAIL     debug_Logic_Timing_Min    Mst_TGBLK_TDO1_TSet138        0.0000         32.6620 K      0.0000         0.0000         0
 155         0    FAIL     debug_Logic_Timing_Min    Mst_TGBLK_VSYC_TSet153        0.0000         32.5820 K      0.0000         0.0000         0
 156         0    FAIL     debug_Logic_Timing_Min    Mst_TGBLK_HSYC_TSet136        0.0000         381.0000       0.0000         0.0000         0
 157         0    FAIL     debug_Logic_Timing_Min    Mst_TGBLK_TDO0_TSet255        0.0000         -28.6150 K     0.0000         0.0000         0
 158         0    FAIL     debug_Logic_Timing_Min    Mst_TGBLK_TDO1_TSet238        0.0000         -28.6950 K     0.0000         0.0000         0
 159         0    FAIL     debug_Logic_Timing_Min    Mst_TGBLK_VSYC_TSet253        0.0000         32.5840 K      0.0000         0.0000         0
 160         0    FAIL     debug_Logic_Timing_Min    Mst_TGBLK_HSYC_TSet236        0.0000         384.0000       0.0000         0.0000         0
 161         0    FAIL     debug_Logic_Timing_Min    Mst_HOSBLK_TDO0_TSet155        0.0000         486.0000       0.0000         0.0000         0
 162         0    PASS     debug_Logic_Timing_Min    Mst_HOSBLK_TDO1_TSet138        0.0000         0.0000         0.0000         0.0000         0
 163         0    FAIL     debug_Logic_Timing_Min    Mst_VSBLK_TDO0_TSet155        0.0000         751.0000       0.0000         0.0000         0
 164         0    PASS     debug_Logic_Timing_Min    Mst_VSBLK_TDO1_TSet138        0.0000         0.0000         0.0000         0.0000         0
 165         0    FAIL     debug_Logic_Timing_Min    Mst_VSBLK_VSYC_TSet153        0.0000         2.0000         0.0000         0.0000         0
 166         0    PASS     debug_Logic_Timing_Min    Mst_VSBLK_VSYC1_TSet135        0.0000         0.0000         0.0000         0.0000         0
 167         0    FAIL     debug_Logic_Timing_Min    Mst_VSBLK_EVSYC_TSet152        0.0000         2.0000         0.0000         0.0000         0
 168         0    FAIL     debug_Logic_Timing_Min    Slv_TDO0_TSet1 55        0.0000         2.0000         0.0000         0.0000         0
 169         0    FAIL     debug_Logic_Timing_Min    Slv_TDO1_TSet1 38        0.0000         2.0000         0.0000         0.0000         0
 170         0    FAIL     debug_Logic_Timing_Min    WBT_VSYC_TSet1 53        0.0000         1.5000 K       0.0000         0.0000         0
 171         0    FAIL     debug_Logic_Timing_Min    WBT_EVSYC_TSet152        0.0000         3.0000 K       0.0000         0.0000         0
 172         0    FAIL     debug_Logic_Timing_Max    Mst_SPIBLK_SDO_TSet149        0.0000         506.0000       0.0000         0.0000         0
 173         0    FAIL     debug_Logic_Timing_Max    Mst_SPIBLK_SDO_TSet249        0.0000         760.0000       0.0000         0.0000         0
 174         0    FAIL     debug_Logic_Timing_Max    Mst_TGBLK_TDO0_TSet155        0.0000         22.8460 K      0.0000         0.0000         0
 175         0    FAIL     debug_Logic_Timing_Max    Mst_TGBLK_TDO1_TSet138        0.0000         21.7860 K      0.0000         0.0000         0
 176         0    FAIL     debug_Logic_Timing_Max    Mst_TGBLK_VSYC_TSet153        0.0000         32.5820 K      0.0000         0.0000         0
 177         0    FAIL     debug_Logic_Timing_Max    Mst_TGBLK_HSYC_TSet136        0.0000         254.0000       0.0000         0.0000         0
 178         0    FAIL     debug_Logic_Timing_Max    Mst_TGBLK_TDO0_TSet255        0.0000         22.9460 K      0.0000         0.0000         0
 179         0    FAIL     debug_Logic_Timing_Max    Mst_TGBLK_TDO1_TSet238        0.0000         21.8460 K      0.0000         0.0000         0
 180         0    FAIL     debug_Logic_Timing_Max    Mst_TGBLK_VSYC_TSet253        0.0000         32.5840 K      0.0000         0.0000         0
 181         0    FAIL     debug_Logic_Timing_Max    Mst_TGBLK_HSYC_TSet236        0.0000         128.0000       0.0000         0.0000         0
 182         0    FAIL     debug_Logic_Timing_Max    Mst_HOSBLK_TDO0_TSet155        0.0000         486.0000       0.0000         0.0000         0
 183         0    PASS     debug_Logic_Timing_Max    Mst_HOSBLK_TDO1_TSet138        0.0000         0.0000         0.0000         0.0000         0
 184         0    FAIL     debug_Logic_Timing_Max    Mst_VSBLK_TDO0_TSet155        0.0000         751.0000       0.0000         0.0000         0
 185         0    PASS     debug_Logic_Timing_Max    Mst_VSBLK_TDO1_TSet138        0.0000         0.0000         0.0000         0.0000         0
 186         0    FAIL     debug_Logic_Timing_Max    Mst_VSBLK_VSYC_TSet153        0.0000         2.0000         0.0000         0.0000         0
 187         0    PASS     debug_Logic_Timing_Max    Mst_VSBLK_VSYC1_TSet135        0.0000         0.0000         0.0000         0.0000         0
 188         0    FAIL     debug_Logic_Timing_Max    Mst_VSBLK_EVSYC_TSet152        0.0000         2.0000         0.0000         0.0000         0
 189         0    FAIL     debug_Logic_Timing_Max    Slv_TDO0_TSet1 55        0.0000         2.0000         0.0000         0.0000         0
 190         0    FAIL     debug_Logic_Timing_Max    Slv_TDO1_TSet1 38        0.0000         2.0000         0.0000         0.0000         0
 191         0    FAIL     debug_Logic_Timing_Max    WBT_VSYC_TSet1 53        0.0000         1.5000 K       0.0000         0.0000         0
 192         0    FAIL     debug_Logic_Timing_Max    WBT_EVSYC_TSet152        0.0000         3.0000 K       0.0000         0.0000         0

 Site Failed tests/Executed tests
------------------------------------
    0        54       193

 Site    Sort     Bin
------------------------------------
    0         2         1
=========================================================================
